city,province
Toronto,Ontario
Montréal,Québec
Vancouver,British Columbia
Ottawa,Ontario
Calgary,Alberta
Edmonton,Alberta
Hamilton,Ontario
Winnipeg,Manitoba
Québec,Québec
Oshawa,Ontario
Kitchener,Ontario
Halifax,Nova Scotia
London,Ontario
Windsor,Ontario
Victoria,British Columbia
Saskatoon,Saskatchewan
Barrie,Ontario
Regina,Saskatchewan
Sudbury,Ontario
Abbotsford,British Columbia
Sarnia,Ontario
Sherbrooke,Québec
Saint John’s,Newfoundland and Labrador
Kelowna,British Columbia
Trois-Rivières,Québec
Kingston,Ontario
Moncton,New Brunswick
Peterborough,Ontario
Drummondville,Québec
Fredericton,New Brunswick
Chilliwack,British Columbia
Shawinigan,Québec
Cornwall,Ontario
Belleville,Ontario
Charlottetown,Prince Edward Island
Victoriaville,Québec
Grande Prairie,Alberta
Penticton,British Columbia
Campbell River,British Columbia
Courtenay,British Columbia
Orangeville,Ontario
Moose Jaw,Saskatchewan
Brandon,Manitoba
Brockville,Ontario
Rouyn-Noranda,Québec
Whitehorse,Yukon
Fort McMurray,Alberta
Yellowknife,Northwest Territories
Fort Saint John,British Columbia
Rivière-du-Loup,Québec
Wetaskiwin,Alberta
Weyburn,Saskatchewan
Iqaluit,Nunavut
Meadow Lake,Saskatchewan
Thunder Bay,Ontario
Saint John,New Brunswick
Nanaimo,British Columbia
Saint-Jérôme,Québec
Red Deer,Alberta
Lethbridge,Alberta
Kamloops,British Columbia
Prince George,British Columbia
Medicine Hat,Alberta
Chicoutimi,Québec
North Bay,Ontario
Joliette,Québec
Sydney,Nova Scotia
Orillia,Ontario
Rimouski,Québec
Timmins,Ontario
Prince Albert,Saskatchewan
Saint-Georges,Québec
Sept-Îles,Québec
Owen Sound,Ontario
Corner Brook,Newfoundland and Labrador
Val-d’Or,Québec
New Glasgow,Nova Scotia
Terrace,British Columbia
North Battleford,Saskatchewan
Cranbrook,British Columbia
Edmundston,New Brunswick
Camrose,Alberta
Pembroke,Ontario
Yorkton,Saskatchewan
Swift Current,Saskatchewan
Prince Rupert,British Columbia
Williams Lake,British Columbia
Brooks,Alberta
Quesnel,British Columbia
Thompson,Manitoba
Dolbeau,Québec
